,"country,food_category,consumption,co2_emmission"
0,"Argentina,Pork,10.51,37.2"
1,"Argentina,Poultry,38.660000000000004,41.53"
2,"Argentina,Beef,55.48,1712"
3,"Argentina,Lamb & Goat,1.56,54.63"
4,"Argentina,Fish,4.359999999999999,6.96"
5,"Argentina,Eggs,11.39,10.46"
6,"Argentina,Milk - inc. cheese,195.08,277.87"
7,"Argentina,Wheat and Wheat Products,103.11,19.66"
8,"Argentina,Rice,8.77,11.219999999999999"
9,"Argentina,Soybeans,0,0"
10,"Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001"
11,"Australia,Pork,24.14,85.44000000000001"
12,"Australia,Poultry,46.120000000000005,49.54"
13,"Australia,Beef,33.86,1044.85"
14,"Australia,Lamb & Goat,9.870000000000001,345.65000000000003"
15,"Australia,Fish,17.69,28.25"
16,"Australia,Eggs,8.51,7.819999999999999"
17,"Australia,Milk - inc. cheese,234.49,334.01"
18,"Australia,Wheat and Wheat Products,70.46000000000001,13.44"
19,"Australia,Rice,11.03,14.12"
20,"Australia,Soybeans,0.19,0.09"
21,"Australia,Nuts inc. Peanut Butter,8.729999999999999,15.450000000000001"
22,"Albania,Pork,10.88,38.51"
23,"Albania,Poultry,13.229999999999999,14.209999999999999"
24,"Albania,Beef,22.5,694.3"
25,"Albania,Lamb & Goat,15.32,536.5"
26,"Albania,Fish,3.8499999999999996,6.1499999999999995"
27,"Albania,Eggs,12.450000000000001,11.44"
28,"Albania,Milk - inc. cheese,303.71999999999997,432.62"
29,"Albania,Wheat and Wheat Products,138.64,26.439999999999998"
30,"Albania,Rice,7.78,9.96"
31,"Albania,Soybeans,0,0"
32,"Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72"
33,"Iceland,Pork,21.69,76.77"
34,"Iceland,Poultry,26.87,28.86"
35,"Iceland,Beef,13.360000000000001,412.26"
36,"Iceland,Lamb & Goat,21.12,739.62"
37,"Iceland,Fish,74.41000000000001,118.81"
38,"Iceland,Eggs,8.239999999999998,7.57"
39,"Iceland,Milk - inc. cheese,225.82000000000002,321.66"
40,"Iceland,Wheat and Wheat Products,72.92,13.91"
41,"Iceland,Rice,3.8899999999999997,4.98"
42,"Iceland,Soybeans,0.11,0.05"
43,"Iceland,Nuts inc. Peanut Butter,3.88,6.87"
44,"New Zealand,Pork,22.29,78.9"
45,"New Zealand,Poultry,34.98,37.58"
46,"New Zealand,Beef,22.49,693.99"
47,"New Zealand,Lamb & Goat,18.91,662.23"
48,"New Zealand,Fish,20.36,32.51"
49,"New Zealand,Eggs,9.91,9.1"
50,"New Zealand,Milk - inc. cheese,137.25,195.5"
51,"New Zealand,Wheat and Wheat Products,76.91000000000001,14.67"
52,"New Zealand,Rice,9.16,11.719999999999999"
53,"New Zealand,Soybeans,0.44,0.2"
54,"New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55"
55,"USA,Pork,27.64,97.83"
56,"USA,Poultry,50.01,53.720000000000006"
57,"USA,Beef,36.24,1118.29"
58,"USA,Lamb & Goat,0.43000000000000005,15.06"
59,"USA,Fish,12.350000000000001,19.72"
60,"USA,Eggs,14.58,13.39"
61,"USA,Milk - inc. cheese,254.69,362.78"
62,"USA,Wheat and Wheat Products,80.43,15.34"
63,"USA,Rice,6.88,8.8"
64,"USA,Soybeans,0.04,0.02"
65,"USA,Nuts inc. Peanut Butter,7.859999999999999,13.91"
66,"Uruguay,Pork,16.84,59.61"
67,"Uruguay,Poultry,27.45,29.49"
68,"Uruguay,Beef,29.1,897.9599999999999"
69,"Uruguay,Lamb & Goat,8.229999999999999,288.21"
70,"Uruguay,Fish,6.53,10.43"
71,"Uruguay,Eggs,13.139999999999999,12.07"
72,"Uruguay,Milk - inc. cheese,210.54,299.89"
73,"Uruguay,Wheat and Wheat Products,109.31,20.85"
74,"Uruguay,Rice,11.5,14.719999999999999"
75,"Uruguay,Soybeans,0.01,0"
76,"Uruguay,Nuts inc. Peanut Butter,0.9500000000000001,1.6800000000000002"
77,"Luxembourg,Pork,43.58,154.25"
78,"Luxembourg,Poultry,21.37,22.959999999999997"
79,"Luxembourg,Beef,29.88,922.03"
80,"Luxembourg,Lamb & Goat,1.6700000000000002,58.48"
81,"Luxembourg,Fish,23.09,36.87"
82,"Luxembourg,Eggs,14.639999999999999,13.450000000000001"
83,"Luxembourg,Milk - inc. cheese,255.3,363.65000000000003"
84,"Luxembourg,Wheat and Wheat Products,103.2,19.68"
85,"Luxembourg,Rice,4.2,5.37"
86,"Luxembourg,Soybeans,0.04,0.02"
87,"Luxembourg,Nuts inc. Peanut Butter,0.93,1.6500000000000001"
88,"Brazil,Pork,12.6,44.6"
89,"Brazil,Poultry,45,48.339999999999996"
90,"Brazil,Beef,39.25,1211.1699999999998"
91,"Brazil,Lamb & Goat,0.62,21.71"
92,"Brazil,Fish,10.01,15.98"
93,"Brazil,Eggs,8.98,8.25"
94,"Brazil,Milk - inc. cheese,149.28,212.63"
95,"Brazil,Wheat and Wheat Products,53,10.11"
96,"Brazil,Rice,32.13,41.120000000000005"
97,"Brazil,Soybeans,3.62,1.6300000000000001"
98,"Brazil,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002"
99,"Kazakhstan,Pork,10.360000000000001,36.67"
100,"Kazakhstan,Poultry,18.38,19.74"
101,"Kazakhstan,Beef,23.38,721.4599999999999"
102,"Kazakhstan,Lamb & Goat,9.56,334.78999999999996"
103,"Kazakhstan,Fish,5.21,8.32"
104,"Kazakhstan,Eggs,8.29,7.619999999999999"
105,"Kazakhstan,Milk - inc. cheese,288.12,410.4"
106,"Kazakhstan,Wheat and Wheat Products,92.31,17.6"
107,"Kazakhstan,Rice,7.319999999999999,9.370000000000001"
108,"Kazakhstan,Soybeans,0.03,0.01"
109,"Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1"
110,"Sweden,Pork,37,130.96"
111,"Sweden,Poultry,16.64,17.87"
112,"Sweden,Beef,24.58,758.49"
113,"Sweden,Lamb & Goat,1.41,49.379999999999995"
114,"Sweden,Fish,23.86,38.1"
115,"Sweden,Eggs,13.370000000000001,12.28"
116,"Sweden,Milk - inc. cheese,341.22999999999996,486.05"
117,"Sweden,Wheat and Wheat Products,79.59,15.18"
118,"Sweden,Rice,5.96,7.63"
119,"Sweden,Soybeans,0.13,0.06"
120,"Sweden,Nuts inc. Peanut Butter,6.23,11.03"
121,"Bermuda,Pork,28.24,99.96000000000001"
122,"Bermuda,Poultry,32.620000000000005,35.04"
123,"Bermuda,Beef,33.15,1022.9399999999999"
124,"Bermuda,Lamb & Goat,2.71,94.9"
125,"Bermuda,Fish,33.220000000000006,53.04"
126,"Bermuda,Eggs,14.92,13.709999999999999"
127,"Bermuda,Milk - inc. cheese,95.56,136.12"
128,"Bermuda,Wheat and Wheat Products,54.879999999999995,10.47"
129,"Bermuda,Rice,5.38,6.88"
130,"Bermuda,Soybeans,0.22,0.1"
