,country,food_category,consumption,co2_emmission
0,Argentina,Pork,10.510,37.200
1,Argentina,Poultry,38.660,41.530
2,Argentina,Beef,55.480,1712.000
3,Argentina,Lamb & Goat,1.560,54.630
4,Argentina,Fish,4.360,6.960
5,Argentina,Eggs,11.390,10.460
6,Argentina,Milk - inc. cheese,195.080,277.870
7,Argentina,Wheat and Wheat Products,103.110,19.660
8,Argentina,Rice,8.770,11.220
9,Argentina,Soybeans,0.000,0.000
10,Argentina,Nuts inc. Peanut Butter,0.490,0.870
11,Australia,Pork,24.140,85.440
12,Australia,Poultry,46.120,49.540
13,Australia,Beef,33.860,1044.850
14,Australia,Lamb & Goat,9.870,345.650
15,Australia,Fish,17.690,28.250
16,Australia,Eggs,8.510,7.820
17,Australia,Milk - inc. cheese,234.490,334.010
18,Australia,Wheat and Wheat Products,70.460,13.440
19,Australia,Rice,11.030,14.120
20,Australia,Soybeans,0.190,0.090
21,Australia,Nuts inc. Peanut Butter,8.730,15.450
22,Albania,Pork,10.880,38.510
23,Albania,Poultry,13.230,14.210
24,Albania,Beef,22.500,694.300
25,Albania,Lamb & Goat,15.320,536.500
26,Albania,Fish,3.850,6.150
27,Albania,Eggs,12.450,11.440
28,Albania,Milk - inc. cheese,303.720,432.620
29,Albania,Wheat and Wheat Products,138.640,26.440
30,Albania,Rice,7.780,9.960
31,Albania,Soybeans,0.000,0.000
32,Albania,Nuts inc. Peanut Butter,4.360,7.720
33,Iceland,Pork,21.690,76.770
34,Iceland,Poultry,26.870,28.860
35,Iceland,Beef,13.360,412.260
36,Iceland,Lamb & Goat,21.120,739.620
37,Iceland,Fish,74.410,118.810
38,Iceland,Eggs,8.240,7.570
39,Iceland,Milk - inc. cheese,225.820,321.660
40,Iceland,Wheat and Wheat Products,72.920,13.910
41,Iceland,Rice,3.890,4.980
42,Iceland,Soybeans,0.110,0.050
43,Iceland,Nuts inc. Peanut Butter,3.880,6.870
44,New Zealand,Pork,22.290,78.900
45,New Zealand,Poultry,34.980,37.580
46,New Zealand,Beef,22.490,693.990
47,New Zealand,Lamb & Goat,18.910,662.230
48,New Zealand,Fish,20.360,32.510
49,New Zealand,Eggs,9.910,9.100
50,New Zealand,Milk - inc. cheese,137.250,195.500
51,New Zealand,Wheat and Wheat Products,76.910,14.670
52,New Zealand,Rice,9.160,11.720
53,New Zealand,Soybeans,0.440,0.200
54,New Zealand,Nuts inc. Peanut Butter,8.220,14.550
55,USA,Pork,27.640,97.830
56,USA,Poultry,50.010,53.720
57,USA,Beef,36.240,1118.290
58,USA,Lamb & Goat,0.430,15.060
59,USA,Fish,12.350,19.720
60,USA,Eggs,14.580,13.390
61,USA,Milk - inc. cheese,254.690,362.780
62,USA,Wheat and Wheat Products,80.430,15.340
63,USA,Rice,6.880,8.800
64,USA,Soybeans,0.040,0.020
65,USA,Nuts inc. Peanut Butter,7.860,13.910
66,Uruguay,Pork,16.840,59.610
67,Uruguay,Poultry,27.450,29.490
68,Uruguay,Beef,29.100,897.960
69,Uruguay,Lamb & Goat,8.230,288.210
70,Uruguay,Fish,6.530,10.430
71,Uruguay,Eggs,13.140,12.070
72,Uruguay,Milk - inc. cheese,210.540,299.890
73,Uruguay,Wheat and Wheat Products,109.310,20.850
74,Uruguay,Rice,11.500,14.720
75,Uruguay,Soybeans,0.010,0.000
76,Uruguay,Nuts inc. Peanut Butter,0.950,1.680
77,Luxembourg,Pork,43.580,154.250
78,Luxembourg,Poultry,21.370,22.960
79,Luxembourg,Beef,29.880,922.030
80,Luxembourg,Lamb & Goat,1.670,58.480
81,Luxembourg,Fish,23.090,36.870
82,Luxembourg,Eggs,14.640,13.450
83,Luxembourg,Milk - inc. cheese,255.300,363.650
84,Luxembourg,Wheat and Wheat Products,103.200,19.680
85,Luxembourg,Rice,4.200,5.370
86,Luxembourg,Soybeans,0.040,0.020
87,Luxembourg,Nuts inc. Peanut Butter,0.930,1.650
88,Brazil,Pork,12.600,44.600
89,Brazil,Poultry,45.000,48.340
90,Brazil,Beef,39.250,1211.170
91,Brazil,Lamb & Goat,0.620,21.710
92,Brazil,Fish,10.010,15.980
93,Brazil,Eggs,8.980,8.250
94,Brazil,Milk - inc. cheese,149.280,212.630
95,Brazil,Wheat and Wheat Products,53.000,10.110
96,Brazil,Rice,32.130,41.120
97,Brazil,Soybeans,3.620,1.630
98,Brazil,Nuts inc. Peanut Butter,0.670,1.190
99,Kazakhstan,Pork,10.360,36.670
100,Kazakhstan,Poultry,18.380,19.740
